categories,description,height,length,name,price,sku,stock,tags,weight,width
"mysterious,pokemon",Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.,3,3,Starmie,176.0,7984,283,"mysterious,natural cure,starmie",176.4,3
"pokemon,star shape","Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs.",2,2,Staryu,166.0,7802,292,"natural cure,star shape,staryu",76.1,2
"goldfish,pokemon",Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.,4,4,Seaking,129.0,9260,226,"goldfish,seaking,swift swim",86.0,4
"goldfish,pokemon","Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.",2,2,Goldeen,170.0,3144,117,"goldeen,goldfish,swift swim",33.1,2
"dragon,pokemon","Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.",3,3,Seadra,51.0,2148,45,"dragon,poison point,seadra",55.1,3
"dragon,pokemon","If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.",1,1,Horsea,154.0,1885,88,"dragon,horsea,swift swim",17.6,1
"parent,pokemon","If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you.",7,7,Kangaskhan,164.0,7268,35,"early bird,kangaskhan,parent",176.4,7
"fossil,pokemon",Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,5,5,Aerodactyl,56.0,1801,257,"aerodactyl,fossil,rock head",130.1,5
"flame,pokemon","Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",6,6,Moltres,178.0,2571,208,"flame,moltres,pressure",132.3,6
"electric,pokemon",Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,5,5,Zapdos,133.0,7213,265,"electric,pressure,zapdos",116.0,5
"freeze,pokemon","Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",5,5,Articuno,77.0,6040,101,"articuno,freeze,pressure",122.1,5
"pokemon,sleeping",Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,6,6,Snorlax,134.0,9883,260,"sleeping,snorlax,thick fat",1014.1,6
"pokemon,shellfish",Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,4,4,Kabutops,57.0,4736,228,"kabutops,shellfish,swift swim",89.3,4
"pokemon,shellfish","Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",1,1,Kabuto,79.0,9584,187,"kabuto,shellfish,swift swim",25.4,1
"pokemon,spiral","Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",3,3,Omastar,61.0,3283,249,"omastar,shell armor,spiral",77.2,3
"pokemon,spiral","Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",1,1,Omanyte,162.0,4569,13,"omanyte,shell armor,spiral",16.5,1
"pokemon,virtual",Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,2,2,Porygon,178.0,7940,156,"porygon,trace,virtual",80.5,2
"flame,pokemon","Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",2,2,Flareon,34.0,8149,142,"flame,flareon,flash fire",55.1,2
"lightning,pokemon","Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",2,2,Jolteon,158.0,4119,37,"jolteon,lightning,volt absorb",54.0,2
"bubble jet,pokemon",Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,3,3,Vaporeon,147.0,5437,226,"bubble jet,vaporeon,water absorb",63.9,3
"evolution,pokemon",Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,1,1,Eevee,112.0,3593,234,"eevee,evolution,run away",14.3,1
"pokemon,transform","Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",1,1,Ditto,75.0,5061,177,"ditto,limber,transform",8.8,1
"pokemon,transport","People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",8,8,Lapras,172.0,7759,89,"lapras,transport,water absorb",485.0,8
"genetic,pokemon","Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.",6,6,Mewtwo,43.0,4630,78,"genetic,mewtwo,pressure",269.0,6
"dragon,pokemon",Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,7,7,Dragonite,69.0,9175,127,"dragon,dragonite,inner focus",463.0,7
"long body,pokemon","Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",5,5,Furret,154.0,4876,85,"furret,keen eye,long body",71.6,5
"pokemon,scout","When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",2,2,Sentret,48.0,2687,83,"keen eye,scout,sentret",13.2,2
"big jaw,pokemon","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",7,7,Feraligatr,183.0,9344,175,"big jaw,feraligatr,torrent",195.8,7
"big jaw,pokemon","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",3,3,Croconaw,175.0,9299,255,"big jaw,croconaw,torrent",55.1,3
"big jaw,pokemon","Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",2,2,Totodile,190.0,4342,285,"big jaw,torrent,totodile",20.9,2
"pokemon,volcano",Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,5,5,Typhlosion,191.0,5228,118,"blaze,typhlosion,volcano",175.3,5
"pokemon,volcano",Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,2,2,Quilava,85.0,6999,263,"blaze,quilava,volcano",41.9,2
"fire mouse,pokemon","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",1,1,Cyndaquil,154.0,3987,184,"blaze,cyndaquil,fire mouse",17.4,1
"herb,pokemon","The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",5,5,Meganium,163.0,5778,71,"herb,meganium,overgrow",221.6,5
"leaf,pokemon",Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,3,3,Bayleef,44.0,1272,299,"bayleef,leaf,overgrow",34.8,3
"leaf,pokemon","In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",2,2,Chikorita,127.0,2657,98,"chikorita,leaf,overgrow",14.1,2
"new species,pokemon","Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",1,1,Mew,136.0,4382,152,"mew,new species,synchronize",8.8,1
"dragon,pokemon",Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,13,13,Dragonair,57.0,5641,119,"dragon,dragonair,shed skin",36.4,13
"dragon,pokemon",Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,5,5,Dratini,94.0,2799,275,"dragon,dratini,shed skin",7.3,5
"happiness,pokemon","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.",2,2,Togetic,69.0,9410,293,"happiness,serene grace,togetic",7.1,2
"pokemon,spike ball","As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.",1,1,Togepi,47.0,1684,264,"serene grace,spike ball,togepi",3.3,1
"balloon,pokemon",Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,1,1,Igglybuff,189.0,2662,170,"balloon,cute charm,igglybuff",2.2,1
"mystic,pokemon",Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,4,4,Xatu,123.0,7616,196,"mystic,synchronize,xatu",33.1,4
"pokemon,tiny bird",Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.,,,Natu,99.0,2942,36,"natu,synchronize,tiny bird",4.4,
"pokemon,star shape","On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.",1,1,Cleffa,107.0,2794,187,"cleffa,cute charm,star shape",6.6,1
"pokemon,tiny mouse","When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",1,1,Pichu,193.0,4987,64,"pichu,static,tiny mouse",4.4,1
"light,pokemon","Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.",3,3,Lanturn,131.0,7579,218,"illuminate,lanturn,light",49.6,3
"angler,pokemon","Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.",1,1,Chinchou,59.0,2651,130,"angler,chinchou,illuminate",26.5,1
"bat,pokemon",Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,5,5,Crobat,195.0,6120,245,"bat,crobat,inner focus",165.3,5
"pokemon,string spit",The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,1,1,Spinarak,199.0,4388,136,"spinarak,string spit,swarm",18.7,1
"long leg,pokemon",Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,3,3,Ariados,85.0,9759,50,"ariados,long leg,swarm",73.9,3
"five star,pokemon","It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.",4,4,Ledian,136.0,1806,65,"five star,ledian,swarm",78.5,4
"five star,pokemon",Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.,3,3,Ledyba,98.0,3874,83,"five star,ledyba,swarm",23.8,3
"owl,pokemon","Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.",5,5,Noctowl,170.0,9939,10,"keen eye,noctowl,owl",89.9,5
"owl,pokemon","Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.",2,2,Hoothoot,48.0,4691,204,"hoothoot,keen eye,owl",46.7,2
"pokemon,wool","Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.",2,2,Mareep,79.0,2016,152,"mareep,static,wool",17.2,2
"long tail,pokemon","Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.",2,2,Aipom,182.0,8103,92,"aipom,long tail,run away",25.4,2
"cottonweed,pokemon",Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,2,2,Jumpluff,107.0,2168,235,"chlorophyll,cottonweed,jumpluff",6.6,2
"cottonweed,pokemon","Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",2,2,Skiploom,185.0,2616,94,"chlorophyll,cottonweed,skiploom",2.2,2
"clear wing,pokemon",Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,3,3,Yanma,130.0,8321,130,"clear wing,compound eyes,yanma",83.8,3
"pokemon,water fish","Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.",1,1,Wooper,98.0,4198,48,"damp,water fish,wooper",18.7,1
"pokemon,sun",Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,2,2,Sunflora,33.0,7947,163,"chlorophyll,sun,sunflora",18.7,2
"pokemon,seed","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",1,1,Sunkern,150.0,4061,255,"chlorophyll,seed,sunkern",4.0,1
"cottonweed,pokemon","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",1,1,Hoppip,107.0,1154,266,"chlorophyll,cottonweed,hoppip",1.1,1
"frog,pokemon","The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.",3,3,Politoed,193.0,9168,261,"damp,frog,politoed",74.7,3
"imitation,pokemon","Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.",3,3,Sudowoodo,54.0,1558,147,"imitation,rock head,sudowoodo",83.8,3
"aqua rabbit,pokemon",Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,2,2,Azumarill,175.0,9464,300,"aqua rabbit,azumarill,thick fat",62.8,2
"aqua mouse,pokemon","When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.",1,1,Marill,127.0,4728,55,"aqua mouse,marill,thick fat",18.7,1
"flower,pokemon","A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.",1,1,Bellossom,25.0,7003,234,"bellossom,chlorophyll,flower",12.8,1
"light,pokemon",Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,4,4,Ampharos,41.0,2141,247,"ampharos,light,static",135.6,4
"pokemon,wool",Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,2,2,Flaaffy,163.0,9291,64,"flaaffy,static,wool",29.3,2
"pokemon,sun",Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,2,2,Espeon,177.0,9676,153,"espeon,sun,synchronize",58.4,2
"pokemon,water fish","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.",4,4,Quagsire,37.0,2688,292,"damp,quagsire,water fish",165.3,4
"pincer,pokemon",Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,5,5,Scizor,172.0,9056,198,"pincer,scizor,swarm",260.1,5
"balloon,pokemon","Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.",1,1,Qwilfish,77.0,3335,297,"balloon,poison point,qwilfish",8.6,1
"fairy,pokemon","Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.",4,4,Granbull,59.0,7346,171,"fairy,granbull,intimidate",107.4,4
"mold,pokemon","Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.",2,2,Shuckle,194.0,7903,74,"mold,shuckle,sturdy",45.2,2
"fairy,pokemon","By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.",2,2,Snubbull,63.0,3961,164,"fairy,run away,snubbull",17.2,2
"iron snake,pokemon",Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,30,30,Steelix,116.0,4345,157,"iron snake,rock head,steelix",881.8,30
"fly scorpion,pokemon","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.",3,3,Gligar,112.0,5090,140,"fly scorpion,gligar,sand veil",142.9,3
"long neck,pokemon","Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.",4,4,Girafarig,99.0,7871,31,"girafarig,inner focus,long neck",91.5,4
"patient,pokemon","Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.",4,4,Wobbuffet,107.0,6138,113,"patient,shadow tag,wobbuffet",62.8,4
"pokemon,symbol","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.",1,1,Unown,198.0,9561,47,"levitate,symbol,unown",11.0,1
"pokemon,screech","Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.",2,2,Misdreavus,33.0,9272,207,"levitate,misdreavus,screech",2.2,2
"pokemon,royal","Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.",6,6,Slowking,174.0,9664,55,"oblivious,royal,slowking",175.3,6
"darkness,pokemon",Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,1,1,Murkrow,178.0,2223,246,"darkness,insomnia,murkrow",4.6,1
"moonlight,pokemon",Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,3,3,Umbreon,78.0,4995,186,"moonlight,synchronize,umbreon",59.5,3
"hibernator,pokemon","In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.",5,5,Ursaring,31.0,7576,209,"guts,hibernator,ursaring",277.3,5
"little bear,pokemon",This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,2,2,Teddiursa,173.0,7681,274,"little bear,pickup,teddiursa",19.4,2
"pokemon,sharp claw",Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,2,2,Sneasel,108.0,5017,141,"keen eye,sharp claw,sneasel",61.7,2
"pokemon,single horn","Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.",4,4,Heracross,143.0,9256,49,"heracross,single horn,swarm",119.0,4
"dragon,pokemon","Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.",5,5,Kingdra,124.0,7090,206,"dragon,kingdra,swift swim",335.1,5
"dark,pokemon","In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.",4,4,Houndoom,78.0,2081,40,"dark,flash fire,houndoom",77.2,4
"dark,pokemon",Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.,2,2,Houndour,144.0,7965,184,"dark,flash fire,houndour",23.8,2
"armor bird,pokemon","Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.",5,5,Skarmory,199.0,1057,102,"armor bird,keen eye,skarmory",111.3,5
"kite,pokemon","On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.",6,6,Mantine,114.0,3704,195,"kite,mantine,water absorb",485.0,6
"delivery,pokemon","Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.",2,2,Delibird,121.0,6280,141,"delibird,delivery,vital spirit",35.3,2
"jet,pokemon","Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.",2,2,Octillery,94.0,9000,150,"jet,octillery,sniper",62.8,2
"jet,pokemon","Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.",2,2,Remoraid,122.0,4952,46,"jet,remoraid,sniper",26.5,2
"coral,pokemon","Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.",2,2,Corsola,27.0,5281,162,"coral,corsola,natural cure",11.0,2
"pokemon,swine",Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,3,3,Piloswine,84.0,4003,276,"oblivious,piloswine,swine",123.0,3
"pig,pokemon",Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,1,1,Swinub,132.0,8647,250,"oblivious,pig,swinub",14.3,1
"lava,pokemon","Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.",2,2,Magcargo,36.0,3917,210,"flame body,lava,magcargo",121.3,2
"big horn,pokemon","Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",4,4,Stantler,33.0,3706,278,"big horn,intimidate,stantler",157.0,4
"pokemon,virtual",Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.,2,2,Porygon2,151.0,4420,210,"porygon2,trace,virtual",71.6,2
"armor,pokemon","If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.",3,3,Donphan,89.0,3134,197,"armor,donphan,sturdy",264.6,3
"long nose,pokemon","Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.",1,1,Phanpy,129.0,7852,120,"long nose,phanpy,pickup",73.9,1
"pokemon,rock skin","Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.",2,2,Larvitar,26.0,9302,31,"guts,larvitar,rock skin",158.7,2
"aurora,pokemon",Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,6,6,Suicune,68.0,8586,275,"aurora,pressure,suicune",412.3,6
"pokemon,volcano",Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,6,6,Entei,27.0,9592,36,"entei,pressure,volcano",436.5,6
"pokemon,thunder",Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,6,6,Raikou,66.0,5989,276,"pressure,raikou,thunder",392.4,6
"happiness,pokemon","Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.",4,4,Blissey,31.0,8632,289,"blissey,happiness,natural cure",103.2,4
"milk cow,pokemon",Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.,3,3,Miltank,26.0,1586,12,"milk cow,miltank,thick fat",166.4,3
"live coal,pokemon","Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.",2,2,Magby,40.0,5864,21,"flame body,live coal,magby",47.2,2
"electric,pokemon","Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.",2,2,Elekid,104.0,5157,131,"electric,elekid,static",51.8,2
"kiss,pokemon","Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.",1,1,Smoochum,166.0,7637,116,"kiss,oblivious,smoochum",13.2,1
"handstand,pokemon","Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.",4,4,Hitmontop,149.0,3340,47,"handstand,hitmontop,intimidate",105.8,4
"pokemon,scuffle","Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.",2,2,Tyrogue,145.0,7594,76,"guts,scuffle,tyrogue",46.3,2
"painter,pokemon","Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.",3,3,Smeargle,151.0,6497,56,"painter,smeargle,technician",127.9,3
"hard shell,pokemon",Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.,3,3,Pupitar,114.0,4140,221,"hard shell,pupitar,shed skin",335.1,3
"bite,pokemon",Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.,3,3,Mightyena,175.0,4220,173,"bite,intimidate,mightyena",81.6,3
"bite,pokemon",Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.,1,1,Poochyena,130.0,4801,265,"bite,poochyena,run away",30.0,1
"mud fish,pokemon","Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself.",4,4,Swampert,144.0,9105,113,"mud fish,swampert,torrent",180.6,4
"mud fish,pokemon","Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs.",2,2,Marshtomp,152.0,6721,258,"marshtomp,mud fish,torrent",61.7,2
